Player,G#,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
MJ,1,1,43:00:00,16,30,0.533,2,4,0.5,5,6,0.833,1,4,5,6,5,2,4,3,39,31.3
MJ,2,1,43:00:00,18,36,0.5,1,3,0.333,8,8,1,4,4,8,7,3,0,2,3,45,35.7
MJ,3,1,42:00:00,19,34,0.559,4,11,0.364,7,9,0.778,2,3,5,5,4,1,5,4,49,35.9
MJ,4,1,42:00:00,16,31,0.516,1,2,0.5,12,13,0.923,1,5,6,11,2,2,3,3,45,38.4
MJ,5,1,42:00:00,17,26,0.654,1,3,0.333,2,4,0.5,2,7,9,8,6,1,4,2,37,35.8
MJ,1,1,42:00:00,12,27,0.444,2,6,0.333,8,8,1,1,6,7,5,3,0,1,3,34,26.7
MJ,2,1,45:00:00,5,16,0.313,0,2,0,10,12,0.833,1,6,7,7,4,1,3,5,20,17.1
MJ,3,1,43:00:00,17,32,0.531,2,2,1,11,13,0.846,3,7,10,4,1,0,4,3,47,33.4
MJ,4,1,43:00:00,13,26,0.5,0,1,0,16,19,0.842,0,4,4,9,4,3,4,5,42,35.4
MJ,5,1,39:00:00,7,19,0.368,1,4,0.25,7,9,0.778,1,3,4,8,1,0,1,1,22,17.5
MJ,6,1,39:00:00,11,20,0.55,1,4,0.25,6,6,1,1,9,10,2,1,0,3,4,29,20.6
MJ,7,1,45:00:00,13,27,0.481,0,2,0,5,5,1,2,6,8,9,1,0,4,2,31,23
MJ,1,1,32:00:00,8,15,0.533,3,4,0.75,9,9,1,1,5,6,6,2,0,1,2,28,27.3
MJ,2,1,42:00:00,9,16,0.563,0,0,,8,9,0.889,1,4,5,5,0,1,2,2,26,21.3
MJ,3,1,39:00:00,14,28,0.5,0,2,0,5,5,1,1,2,3,7,6,1,1,3,33,29.7
MJ,1,1,31:00:00,8,15,0.533,0,1,0,13,15,0.867,0,5,5,5,3,1,1,2,29,27.8
MJ,2,1,40:00:00,12,26,0.462,0,5,0,5,7,0.714,1,7,8,9,1,1,1,4,29,23
MJ,3,1,42:00:00,20,34,0.588,0,0,,6,9,0.667,0,4,4,6,1,4,2,3,46,35
MJ,4,1,41:00:00,11,27,0.407,2,3,0.667,1,2,0.5,0,4,4,12,4,0,1,4,25,21.1
MJ,5,1,42:00:00,14,31,0.452,0,2,0,10,11,0.909,4,15,19,7,0,1,4,3,38,29.2
MJ,1,1,38:00:00,6,15,0.4,0,1,0,10,13,0.769,0,3,3,6,3,0,6,4,22,13.2
MJ,2,1,39:00:00,10,20,0.5,2,2,1,13,14,0.929,2,1,3,7,2,0,3,2,35,29.4
MJ,3,1,46:00:00,11,19,0.579,0,0,,11,12,0.917,0,7,7,7,3,5,1,4,33,34.6
MJ,4,1,37:00:00,11,17,0.647,1,2,0.5,6,9,0.667,0,8,8,8,1,2,2,2,29,27.9
MJ,1,1,40:00:00,14,24,0.583,1,1,1,7,9,0.778,2,6,8,12,3,0,4,5,36,32.6
MJ,2,1,36:00:00,15,18,0.833,0,1,0,3,4,0.75,1,6,7,13,2,1,4,4,33,34.7
MJ,3,1,52:00:00,11,28,0.393,1,1,1,6,6,1,4,5,9,9,4,2,3,5,29,24.8
MJ,4,1,44:00:00,11,20,0.55,0,1,0,6,6,1,1,4,5,13,0,2,1,3,28,28.6
MJ,5,1,48:00:00,12,23,0.522,0,0,,6,8,0.75,0,4,4,10,5,2,6,1,30,26.1
MJ,1,1,41:00:00,21,34,0.618,0,0,,4,4,1,1,10,11,9,3,1,5,4,46,37.7
MJ,2,1,35:00:00,12,23,0.522,0,0,,9,10,0.9,4,9,13,6,2,0,4,3,33,27.8
MJ,3,1,43:00:00,20,30,0.667,0,0,,16,18,0.889,1,4,5,5,4,2,2,3,56,49.8
MJ,1,1,44:00:00,12,23,0.522,0,0,,7,8,0.875,1,5,6,3,1,3,2,4,31,23.1
MJ,2,1,43:00:00,12,24,0.5,0,0,,3,8,0.375,1,5,6,5,3,0,2,2,27,18.9
MJ,3,1,44:00:00,12,24,0.5,1,3,0.333,7,10,0.7,1,8,9,3,3,1,6,2,32,20.9
MJ,4,1,44:00:00,12,26,0.462,0,2,0,5,6,0.833,2,2,4,4,0,0,0,1,29,19.6
MJ,5,1,40:00:00,11,23,0.478,0,0,,15,17,0.882,2,3,5,3,1,0,4,3,37,24.7
MJ,6,1,45:00:00,9,25,0.36,1,5,0.2,2,4,0.5,0,4,4,8,0,1,7,0,21,6.8
MJ,7,1,42:00:00,15,29,0.517,0,0,,12,13,0.923,3,3,6,4,2,3,5,3,42,31
